,FECHA_ANOTACION,VALOR,DESTINO_ECONOMICO,AREA_TERRENO,AREA_CONSTRUIDA, HAB, BAÑOS, LOCAL, PISOS,MAX_PUNT,POINT_X,POINT_Y,Latitud,Longitud,Latitud.1,Longitud.1,UTM waypoint Garmin,Estrato/Hacienda
1378,2022-03-24 00:00:00,62585999,A,179,127,4,2,0,1,29,1370166.0142,10799497.9829,7.16528797619719,-73.1430241046007,"-7º -9' -55,037"" S","73º 8' 34,887"" W",17 N 1370166 10799498,1
443,2022-12-29 00:00:00,1360993962,C,422,584,0,1,1,3,45,1371968.5967,10795358.6127,7.12792053924847,-73.1274915470498,"-7º -7' -40,514"" S","73º 7' 38,97"" W",17 N 1371969 10795359,3
1002,2021-03-11 00:00:00,127439552,A,11,49,3,2,0,4,60,1371485.4949,10797862.0534,7.15042609401173,-73.1314394040842,"-7º -9' -1,534"" S","73º 7' 53,182"" W",17 N 1371485 10797862,2
1077,2021-09-03 00:00:00,127319228,A,11,49,3,2,0,14,60,1371462.8803,10797871.9875,7.15051859135137,-73.131640744001,"-7º -9' -1,867"" S","73º 7' 53,907"" W",17 N 1371463 10797872,2
837,2021-07-12 00:00:00,121378474,A,6,41,3,2,0,1,73,1371883.8945,10796177.065,7.13526698914451,-73.1281253196693,"-7º -8' -6,961"" S","73º 7' 41,251"" W",17 N 1371884 10796177,0
1348,2022-03-02 00:00:00,146034000,A,61,120,2,2,0,4,47,1370559.6838,10794568.1051,7.12105373123191,-73.1402516370873,"-7º -7' -15,793"" S","73º 8' 24,906"" W",17 N 1370560 10794568,2
304,2021-03-02 00:00:00,318020328,A,7,85,3,2,0,1,81,1373259.2967,10794696.485,7.12178939413714,-73.1160156844321,"-7º -7' -18,442"" S","73º 6' 57,656"" W",17 N 1373259 10794696,4
1181,2022-05-17 00:00:00,104205689,A,9,40,2,1,0,13,47,1371509.7268,10797873.2123,7.15052234434597,-73.1312203000769,"-7º -9' -1,88"" S","73º 7' 52,393"" W",17 N 1371510 10797873,2
313,2021-03-02 00:00:00,318020328,A,7,85,3,2,0,1,81,1373245.5256,10794688.1391,7.12171673450311,-73.1161404965536,"-7º -7' -18,18"" S","73º 6' 58,106"" W",17 N 1373246 10794688,4
149,2021-02-22 00:00:00,752075100,C,138,135,0,1,1,1,47,1372156.2875,10794406.5848,7.1193614439126,-73.1259543803076,"-7º -7' -9,701"" S","73º 7' 33,436"" W",17 N 1372156 10794407,3
1148,2021-07-08 00:00:00,94439144,A,9,40,2,1,0,6,47,1371506.1711,10797848.8911,7.1503049702357,-73.1312559517412,"-7º -9' -1,098"" S","73º 7' 52,521"" W",17 N 1371506 10797849,2
574,2021-03-08 00:00:00,322317900,A,93,72,0,0,0,2,59,1374714.1989,10791861.964,7.09616928171609,-73.1034018984727,"-7º -5' -46,209"" S","73º 6' 12,247"" W",17 N 1374714 10791862,4
50,2021-11-30 00:00:00,309311298,A,13,66,0,0,0,9,75,1372734.2706,10794320.0473,7.11849727097826,-73.1207831241018,"-7º -7' -6,59"" S","73º 7' 14,819"" W",17 N 1372734 10794320,4
1178,2021-03-16 00:00:00,90141572,A,9,40,2,1,0,12,47,1371516.1282,10797872.2628,7.15051284984849,-73.1311630203986,"-7º -9' -1,846"" S","73º 7' 52,187"" W",17 N 1371516 10797872,2
726,2022-08-22 00:00:00,208619999,A,151,99,3,2,0,2,52,1372365.674,10792258.1762,7.10007945551299,-73.1244061360208,"-7º -6' -0,286"" S","73º 7' 27,862"" W",17 N 1372366 10792258,4
833,2021-04-20 00:00:00,179435789,A,8,55,3,2,0,1,73,1371866.2159,10796166.5929,7.13517587839909,-73.1282855194397,"-7º -8' -6,633"" S","73º 7' 41,828"" W",17 N 1371866 10796167,0
1115,2021-08-04 00:00:00,127319228,A,11,49,3,2,0,20,60,1371450.7935,10797869.2844,7.15049623419953,-73.1317495906374,"-7º -9' -1,786"" S","73º 7' 54,299"" W",17 N 1371451 10797869,2
470,2022-09-08 00:00:00,125171999,A,30,69,3,2,0,1,60,1372676.2347,10795879.1632,7.13247581541962,-73.1210636077125,"-7º -7' -56,913"" S","73º 7' 15,829"" W",17 N 1372676 10795879,0
971,2021-09-08 00:00:00,58017221,A,60,104,5,2,0,2,25,1372024.8253,10797757.2916,7.14940425834406,-73.1266173369861,"-7º -8' -57,855"" S","73º 7' 35,822"" W",17 N 1372025 10797757,2
653,2022-10-05 00:00:00,208619999,A,111,115,4,3,0,2,57,1374129.5765,10791613.4868,7.09403272562755,-73.1086837020684,"-7º -5' -38,518"" S","73º 6' 31,261"" W",17 N 1374130 10791613,4
399,2021-03-23 00:00:00,10743930,A,2,13,0,0,0,1,59,1374285.29,10795607.8255,7.12979676518659,-73.1066720283592,"-7º -7' -47,268"" S","73º 6' 24,019"" W",17 N 1374285 10795608,4
511,2022-03-15 00:00:00,365085000,A,127,128,0,2,1,1,60,1373116.7567,10795684.2585,7.13066165177182,-73.1171420623103,"-7º -7' -50,382"" S","73º 7' 1,711"" W",17 N 1373117 10795684,4
320,2021-03-23 00:00:00,339508188,A,7,85,3,2,0,1,81,1373253.0415,10794692.4277,7.1217540035693,-73.1160724184454,"-7º -7' -18,314"" S","73º 6' 57,861"" W",17 N 1373253 10794692,4
19,2022-08-11 00:00:00,105489836,A,6,33,3,2,0,8,71,1372983.2184,10794741.5729,7.12223584131574,-73.1184851708833,"-7º -7' -20,049"" S","73º 7' 6,547"" W",17 N 1372983 10794742,4
684,2022-05-09 00:00:00,81361800,A,41,126,5,2,0,3,40,1372046.1748,10791809.4541,7.09610779628709,-73.1273407576026,"-7º -5' -45,988"" S","73º 7' 38,427"" W",17 N 1372046 10791809,3
35,2022-07-18 00:00:00,220569021,A,10,51,0,0,0,5,75,1372726.9369,10794308.2846,7.1183930046043,-73.1208507173613,"-7º -7' -6,215"" S","73º 7' 15,063"" W",17 N 1372727 10794308,4
902,2022-03-10 00:00:00,714430664,C,570,684,0,1,0,3,47,1371427.6057,10796714.3368,7.14015125220391,-73.1321357215944,"-7º -8' -24,545"" S","73º 7' 55,689"" W",17 N 1371428 10796714,2
827,2021-09-07 00:00:00,16115894,A,1,12,0,0,0,1,39,1371902.5755,10796175.583,7.13525083544651,-73.1279579697208,"-7º -8' -6,903"" S","73º 7' 40,649"" W",17 N 1371903 10796176,0
1353,2022-12-28 00:00:00,25660259,A,51,46,2,1,0,1,40,1370888.656,10796503.2531,7.13834280540803,-73.1370030142752,"-7º -8' -18,034"" S","73º 8' 13,211"" W",17 N 1370889 10796503,1
407,2021-03-05 00:00:00,10743930,A,2,15,0,0,0,1,59,1374289.0111,10795638.4217,7.13007032261125,-73.1066339269129,"-7º -7' -48,253"" S","73º 6' 23,882"" W",17 N 1374289 10795638,4
920,2021-03-08 00:00:00,128927159,A,127,82,5,1,0,1,30,1370972.9724,10798113.0034,7.15275365834151,-73.135998496718,"-7º -9' -9,913"" S","73º 8' 9,595"" W",17 N 1370973 10798113,2
